#SiO2	 TiO2	Al2O3 FeOt	MnO	MgO	CaO	Na2O	K2O	Cr2O3 P2O5
53.54	2.42	14.02	7.44	0.1	5.99	5.17	3.85	5.64	0	1
53.21	2.42	13.94	7.41	0.11	5.93	5.15	3.86	5.63	0	1.01
53.21	2.42	13.94	7.41	0.11	5.93	5.15	3.86	5.63	0	1.01
53.21	2.42	13.94	7.41	0.11	5.93	5.15	3.86	5.63	0	1.01
53.21	2.42	13.94	7.41	0.11	5.93	5.15	3.86	5.63	0	1.01
53.21	2.42	13.94	7.41	0.11	5.93	5.15	3.86	5.63	0	1.01
53.21	2.42	13.94	7.41	0.11	5.93	5.15	3.86	5.63	0	1.01
53.21	2.42	13.94	7.41	0.11	5.93	5.15	3.86	5.63	0	1.01
53.21	2.42	13.94	7.41	0.11	5.93	5.15	3.86	5.63	0	1.01
53.21	2.42	13.94	7.41	0.11	5.93	5.15	3.86	5.63	0	1.01
53.21	2.42	13.94	7.41	0.11	5.93	5.15	3.86	5.63	0	1.01
53.21	2.42	13.94	7.41	0.11	5.93	5.15	3.86	5.63	0	1.01
49.21	2.34	13.25	8.67	0.13	7.69	7.29	4.23	4.73	0	1.02

